identifier,language,title,genre,abstract,subjects,abstract_limpio,reumen,keywords,reumen_limpio
doi:10.1007/978-981-19-4594-6_6,en,Reality of Time Series Learning Data Collection,OriginalPaper,"This chapter deals with reality of time series learning data collection in the real world. These include generating learning data with pseudo-step responses, artificial augmentation of learning data collection, and generating of learning data with emulators.","['Engineering', 'Control, Robotics, Mechatronics', 'Machine Learning', 'Control and Systems Theory', 'Artificial Intelligence', 'Systems Theory, Control']",this chapter deals with reality of time series learning data collection in the real world these include generating learning data with pseudostep responses artificial augmentation of learning data collection and generating of learning data with emulators,"in this chapter , i discuss how artificial neural networks ( annns ) can be used to solve real world problems .<n> i will present an example of how a neural network can be used to solve a problem of city planning ","['artificial augmentation' 'learning' 'pseudostep responses'
 'time series learning']",in this chapter  i discuss how artificial neural networks  annns  can be used to solve real world problems <n> i will present an example of how a neural network can be used to solve a problem of city planning 
doi:10.1007/978-981-19-4162-7_12,en,Intelligent Disease Analysis Using Machine Learning,OriginalPaper,"Heart diseases include disordered functioning of heart which can be saved through early diagnosis. This diagnosis needs a lot of time to perceive the patient through an accurate approach for treatment. Technical advancements are a boon to healthcare domain for analyzing huge amounts of data generated by various hospitals. These data can be further preprocessed and filtered according to the disease analysis. In this paper, logistic regression (LR) and support vector machine (SVM) models are incorporated for effective prediction of heart disease. The results achieved are 93% accurate when the datasets are compared with SVM model.","['Engineering', 'Computational Intelligence', 'Data Mining and Knowledge Discovery', 'Systems and Data Security', 'Mobile and Network Security', 'Information Systems Applications (incl. Internet)']",heart diseases include disordered functioning of heart which can be saved through early diagnosis this diagnosis needs a lot of time to perceive the patient through an accurate approach for treatment technical advancements are a boon to healthcare domain for analyzing huge amounts of data generated by various hospitals these data can be further preprocessed and filtered according to the disease analysis in this paper logistic regression lr and support vector machine svm models are incorporated for effective prediction of heart disease the results achieved are  accurate when the datasets are compared with svm model,"in this paper logistic regression lr and support vector machine ( svm ) model are used to predict the onset of heart disease in a heterogeneous population .<n> the models are tested on well known chronic diseases like diabetes , stroke ,","['disease analysis' 'disordered functioning of' 'heart' 'heart disease'
 'heart diseases' 'logistic regression lr'
 'support vector machine svm models' 'treatment technical advancements']",in this paper logistic regression lr and support vector machine  svm  model are used to predict the onset of heart disease in a heterogeneous population <n> the models are tested on well known chronic diseases like diabetes  stroke 
doi:10.1007/978-3-031-05382-5_2,en,"Design, Construction, and Modelling of Bioheaps",OriginalPaper,"Bioheaps have become an important tool for the recovery of metals from low-grade ores. This has primarily involved bioleaching of copper and more recently other transition metals such as nickel, but mineral heaps have also been used to biooxidise refractory gold ores as the initial stage for recovering this precious metal. In the first part of this chapter, the design, construction, and operation of bioheaps is considered. The modus operandi of bioheaps, the different configurations of leach pads (static and dynamic) and the central roles of integrated irrigation and aeration systems are described. The second part of the chapter gives a detailed and comprehensive mathematical model of the heap bioleaching process and how this has been refined over time. A case study of simulated heap bioleaching at a copper mine (Quebrada Blanca) in northern Chile, using the HeapSim2D model, where key objectives were to simulate chalcocite leaching and identify the key parameters that control heap temperature, is outlined.","['Chemistry', 'Applied Microbiology', 'Biotechnology', 'Microbiology', 'Waste Management/Waste Technology']",bioheaps have become an important tool for the recovery of metals from lowgrade ores this has primarily involved bioleaching of copper and more recently other transition metals such as nickel but mineral heaps have also been used to biooxidise refractory gold ores as the initial stage for recovering this precious metal in the first part of this chapter the design construction and operation of bioheaps is considered the modus operandi of bioheaps the different configurations of leach pads static and dynamic and the central roles of integrated irrigation and aeration systems are described the second part of the chapter gives a detailed and comprehensive mathematical model of the heap bioleaching process and how this has been refined over time a case study of simulated heap bioleaching at a copper mine quebrada blanca in northern chile using the heapsimd model where key objectives were to simulate chalcocite leaching and identify the key parameters that control heap temperature is outlined,= 11pt = 0.65 in = 0.65 in,"['aeration systems' 'bioheaps' 'bioleaching'
 'biooxidise refractory gold ores' 'chalcocite leaching' 'control'
 'copper mine' 'heap temperature' 'heapsimd' 'integrated irrigation'
 'lowgrade ores' 'mathematical model' 'mineral heaps' 'modus opera'
 'northern chile' 'precious metal' 'simulated heap bioleaching'
 'transition metals']",= pt =  in =  in
doi:10.1007/978-3-031-06075-5_4,en,Studying the Cold War: Core Themes and Concepts—Is There a New International History of the Cold War?,OriginalPaper,"This chapter provides an overview of the development of the academic study and historiography of the Cold War. The first part assesses developments in International History, starting with approaches written during the conflict (orthodox, revisionist and post-revisionist), before turning to developments since the end of the Cold War, particularly the focus on global and transnational turns. In the second part, the International History of the Cold War is positioned within a wider framework of interdisciplinary scholarship, focussing on the interface between International History and International Relations. It charts the development of IR theory and argues that Cold War scholarship can only be understood in the context of a triangular paradigm of interdependence between International History, International Relations and the Cold War dynamic itself.","['History', 'Modern History', 'World History, Global and Transnational History', 'Political History']",this chapter provides an overview of the development of the academic study and historiography of the cold war the first part assesses developments in international history starting with approaches written during the conflict orthodox revisionist and postrevisionist before turning to developments since the end of the cold war particularly the focus on global and transnational turns in the second part the international history of the cold war is positioned within a wider framework of interdisciplinary scholarship focussing on the interface between international history and international relations it charts the development of ir theory and argues that cold war scholarship can only be understood in the context of a triangular paradigm of interdependence between international history international relations and the cold war dynamic itself,this chapter provides an overview of the development of the academic study and historiography of the cold war .<n> it assesses developments in international history starting with the orthodox revisionist and postrevisionist before turning to developments since the end of the,"['cold war' 'cold war dynamic' 'cold war scholarship'
 'conflict orthodox revisionist' 'interdependence' 'international history'
 'international history international relations' 'international relations'
 'ir theory' 'scholarship']",this chapter provides an overview of the development of the academic study and historiography of the cold war <n> it assesses developments in international history starting with the orthodox revisionist and postrevisionist before turning to developments since the end of the
doi:10.1007/978-1-0716-2647-4_5,en,Isolation and Analysis of Tumor-Infiltrating Treg,OriginalPaper,"Besides their important function in immune homeostasis, autoimmunity, and peripheral tolerance, regulatory T cells (Tregs) also play a crucial role in cancer immune evasion, by assisting tumors to shield from antitumor responses by effector cells. Tregs are recruited to infiltrate tumors and upon finding favourable conditions in the tumor microenvironment, proliferate and suppress effector T cell function thereby promoting tumor escape and growth. In human cancer patients and mouse models, a low ratio of effector T cells to Tregs is a key feature of this immune-suppressive tumor microenvironment and correlates with poor prognosis. This chapter describes protocols for the isolation of tumor-infiltrating lymphocytes (TILs) from solid tumors, their quantification, and phenotyping via flow cytometry to assess the effector T cell:Treg ratio and the expression of relevant markers.","['Biomedicine', 'Immunology']",besides their important function in immune homeostasis autoimmunity and peripheral tolerance regulatory t cells tregs also play a crucial role in cancer immune evasion by assisting tumors to shield from antitumor responses by effector cells tregs are recruited to infiltrate tumors and upon finding favourable conditions in the tumor microenvironment proliferate and suppress effector t cell function thereby promoting tumor escape and growth in human cancer patients and mouse models a low ratio of effector t cells to tregs is a key feature of this immunesuppressive tumor microenvironment and correlates with poor prognosis this chapter describes protocols for the isolation of tumorinfiltrating lymphocytes tils from solid tumors their quantification and phenotyping via flow cytometry to assess the effector t cell:treg ratio and the expression of relevant markers,[ [ background ] ] background : + + + + + + + + + + + + + t lymphocytes ( tils ) are an important component of the immune response to therapy and play a crucial role in tumor escape,"['cancer immune evasion' 'cells' 'effect' 'effector t cell function'
 'flow cytometry' 'human cancer patients'
 'immune homeostasis autoimmunity' 'microenvironment' 'mouse models'
 'peripheral tolerance' 'solid tumors' 'treg ratio' 'tumor escape'
 'tumor microenvironment' 'tumors']",[ [ background ] ] background :              t lymphocytes  tils  are an important component of the immune response to therapy and play a crucial role in tumor escape
doi:10.1007/978-1-0716-2699-3_14,en,Analysis of Cholesterol from the Liver Using Gas Chromatography–Mass Spectrometry,OriginalPaper,"Cholesterol is an essential lipid molecule for several biological functions including the proper functioning of cell membranes, lipoproteins, and lipid rafts, as well as the synthesis of bile acids, vitamin D, and steroid hormones. Cholesterol can be extracted from liver tissue by multiple methods of lipid extraction. Subsequently, gas chromatography–mass spectrometry (GC–MS) can be used to obtain the highest level of sensitivity and selectivity in the analysis of cholesterol. This chapter describes two methods of lipid extraction for liver tissue, Bligh and Dyer and methyl tertiary butyl ether (MTBE), followed by an analysis with GC–MS.","['Chemistry', 'Mass Spectrometry', 'Cell Biology']",cholesterol is an essential lipid molecule for several biological functions including the proper functioning of cell membranes lipoproteins and lipid rafts as well as the synthesis of bile acids vitamin d and steroid hormones cholesterol can be extracted from liver tissue by multiple methods of lipid extraction subsequently gas chromatography–mass spectrometry gc–ms can be used to obtain the highest level of sensitivity and selectivity in the analysis of cholesterol this chapter describes two methods of lipid extraction for liver tissue bligh and dyer and methyl tertiary butyl ether mtbe followed by an analysis with gc–ms,this chapter presents an analysis of two methods of extraction of cholesterol from liver tissue .<n> the methods described in this chapter are : ( 1 ) extraction of cholesterol from liver tissue bligh and dyer and ( 2 ) extraction of,"['bile acids' 'biological functions' 'cell membranes' 'cholesterol'
 'gas chromatography' 'lipid extraction' 'lipid molecule' 'lipid rafts'
 'lipoproteins' 'liver tissue' 'mass spectrometry' 'selectivity'
 'steroid hormones']",this chapter presents an analysis of two methods of extraction of cholesterol from liver tissue <n> the methods described in this chapter are :    extraction of cholesterol from liver tissue bligh and dyer and    extraction of
doi:10.1007/978-981-19-0095-2_46,en,A Study of Emerging IoT Technologies for Handling Pandemic Challenges,OriginalPaper,"Modern years, the Internet of Things (IoT) is mechanizing in abundant real-world functions such as smart transportation, smart business to build an individual life more accessible. IoT is the mainly used method in the previous decade in different functions. Deadly diseases always had severe effects unless they were well controlled. The latest knowledge with COVID-19 explains that by using a neat and speedy approach to deal with deadly diseases, avoid devastating of healthcare structures, and reduce the loss of valuable life. The elegant things are associated with wireless or wired communication, processing, computing, and monitoring dissimilar real-time situations. These things are varied and have low remembrance, less processing control. This article explains a summary of the system and the field of its function. The recent technology has supplied to manage previous closest diseases. From years ago, scientists, investigators, physicians, and healthcare specialists are using novel computer methods to resolve the mysteries of disease. The major objective is to study dissimilar innovation-based methods and methods that support handling deadly disease challenges that are further appropriate developments that can probably be utilized.","['Engineering', 'Communications Engineering, Networks', 'Science and Technology Studies', 'Systems and Data Security', 'Artificial Intelligence', 'Computational Intelligence']",modern years the internet of things iot is mechanizing in abundant realworld functions such as smart transportation smart business to build an individual life more accessible iot is the mainly used method in the previous decade in different functions deadly diseases always had severe effects unless they were well controlled the latest knowledge with covid explains that by using a neat and speedy approach to deal with deadly diseases avoid devastating of healthcare structures and reduce the loss of valuable life the elegant things are associated with wireless or wired communication processing computing and monitoring dissimilar realtime situations these things are varied and have low remembrance less processing control this article explains a summary of the system and the field of its function the recent technology has supplied to manage previous closest diseases from years ago scientists investigators physicians and healthcare specialists are using novel computer methods to resolve the mysteries of disease the major objective is to study dissimilar innovationbased methods and methods that support handling deadly disease challenges that are further appropriate developments that can probably be utilized,the recent technology has supplied to manage previous closest diseases from years ago scientists investigators physicians and healthcare specialists are using novel computer methods to resolve the mysteries of disease the major objective is to study dissimilar innovationbased methods and methods that support handling deadly disease challenges that,"['computer methods' 'covid' 'healthcare structures'
 'innovationbased methods' 'realworld functions'
 'smart transportation smart business'
 'wired communication processing computing']",the recent technology has supplied to manage previous closest diseases from years ago scientists investigators physicians and healthcare specialists are using novel computer methods to resolve the mysteries of disease the major objective is to study dissimilar innovationbased methods and methods that support handling deadly disease challenges that
doi:10.1007/978-981-19-6737-5_19,en,Machine Learning-Based Investigation of Employee Attrition Prediction and Analysis,OriginalPaper,"Employees are a company’s most valuable assets. However, if they left their jobs suddenly, it might cost a company a lot of money. Consequently, companies nowadays are actively seeking tools and technologies that can help in accurate and early employee attrition prediction. The main focus here shall be on the visualization of the available employee data in order to gain intuitive insights on the correlation among attributes and top causes behind the attrition. In this paper, we present the comparison of four algorithms used to predict whether an employee will leave or not, based on various attributes like age, salary, experience, etc., along with intuitive visualizations and its importance. The models used for prediction are random forest, logistic regression, K-nearest neighbor, and Naïve Bayes classifier. Thus, the visual analysis of employee attrition problem and accurate prediction can allow HR managers to take precautionary actions to retain the employee within the company.","['Computer Science', 'Computer Communication Networks', 'Computer Applications', 'Computer System Implementation', 'Artificial Intelligence', 'Image Processing and Computer Vision']",employees are a companys most valuable assets however if they left their jobs suddenly it might cost a company a lot of money consequently companies nowadays are actively seeking tools and technologies that can help in accurate and early employee attrition prediction the main focus here shall be on the visualization of the available employee data in order to gain intuitive insights on the correlation among attributes and top causes behind the attrition in this paper we present the comparison of four algorithms used to predict whether an employee will leave or not based on various attributes like age salary experience etc along with intuitive visualizations and its importance the models used for prediction are random forest logistic regression knearest neighbor and naïve bayes classifier thus the visual analysis of employee attrition problem and accurate prediction can allow hr managers to take precautionary actions to retain the employee within the company,"in this paper , we compare four algorithms used to predict whether an employee will leave or not based on various attributes like age salary experience etc along with intuitive visualizations and its importance the models used for prediction are random forest logistic regression knearest neighbor","['age salary experience' 'attrition' 'bayes class' 'data'
 'employee attrition problem' 'hr managers'
 'random forest logistic regression knearest neighbor' 'visual analysis']",in this paper  we compare four algorithms used to predict whether an employee will leave or not based on various attributes like age salary experience etc along with intuitive visualizations and its importance the models used for prediction are random forest logistic regression knearest neighbor
doi:10.1007/978-3-031-10019-2_10,en,"Gear Manufacturing Accuracy Prediction, Control, and Management",OriginalPaper,"The modeling of the main conformities of real teeth geometry generation is carried out. A method and algorithms for analytical prediction of teeth errors are developed. A systemic model of real teeth geometry generation is proposed. General equations of the real teeth profiles of machined gears are derived. A correlation between the increments of coordinates and gear accuracy indicators is established. Direct measurement methods, diagnostics and factorial methods, and computational-probabilistic and computational-adaptive methods are proposed for the relative primary error function value calculation. Control methods and systems for real teeth geometry generation are described. A full set of the possible ways of gear accuracy control is established, and a classification of the possible ways is made. Error change analysis and estimation of the risk of missing a defective part are carried out for various control systems in relation to element error control, factor methods, and for combined systems. Technological methods for the accuracy control of gear machining are considered, and the general description of the accuracy control methods of gear machining is provided. Systematization of the levels and types of accuracy regulations is carried out. The possibilities of accuracy regulation at the technological process level, including the possibility of accuracy control of two- and three-tool processing methods within gear base surface position changes, are revealed. The processes’ initial parameters influence the establishment of the final gear accuracy. Analysis of accuracy control at the level of operations and transitions is carried out. While analyzing, factors allowing variation were established and compensatory methods of adaptive control were considered. The principles of assurance of a gear’s optimal accuracy according to the given criteria are formulated.","['Engineering', 'Machinery and Machine Elements', 'Energy Systems', 'Mechanical Engineering', 'Engineering Design', 'Complexity']",the modeling of the main conformities of real teeth geometry generation is carried out a method and algorithms for analytical prediction of teeth errors are developed a systemic model of real teeth geometry generation is proposed general equations of the real teeth profiles of machined gears are derived a correlation between the increments of coordinates and gear accuracy indicators is established direct measurement methods diagnostics and factorial methods and computationalprobabilistic and computationaladaptive methods are proposed for the relative primary error function value calculation control methods and systems for real teeth geometry generation are described a full set of the possible ways of gear accuracy control is established and a classification of the possible ways is made error change analysis and estimation of the risk of missing a defective part are carried out for various control systems in relation to element error control factor methods and for combined systems technological methods for the accuracy control of gear machining are considered and the general description of the accuracy control methods of gear machining is provided systematization of the levels and types of accuracy regulations is carried out the possibilities of accuracy regulation at the technological process level including the possibility of accuracy control of two and threetool processing methods within gear base surface position changes are revealed the processes initial parameters influence the establishment of the final gear accuracy analysis of accuracy control at the level of operations and transitions is carried out while analyzing factors allowing variation were established and compensatory methods of adaptive control were considered the principles of assurance of a gears optimal accuracy according to the given criteria are formulated,gear accuracy control for gear machining is considered and the general description of the general description of the accuracy control methods of gear machining is provided the systematization of the levels and types of accuracy regulations is carried out and the possibilities of accuracy regulation at the,"['##s' 'accuracy control' 'accuracy regulation' 'accuracy regulations'
 'adaptive control' 'assurance' 'base surface position changes'
 'classification' 'computationaladaptive methods'
 'computationalprobabilistic' 'coordinates' 'direct measurement methods'
 'element error control factor methods' 'error change analysis'
 'factorial methods' 'final gear accuracy analysis' 'gear'
 'gear accuracy control' 'gear accuracy indicators' 'gear machining'
 'increments' 'machined gears' 'methods' 'optimal accuracy'
 'real teeth geometry' 'real teeth profiles'
 'relative primary error function' 'risk' 'systemic model' 'teeth errors'
 'transitions' 'value calculation control']",gear accuracy control for gear machining is considered and the general description of the general description of the accuracy control methods of gear machining is provided the systematization of the levels and types of accuracy regulations is carried out and the possibilities of accuracy regulation at the
doi:10.1007/s11235-021-00838-2,en,Intelligent and resizable control plane for software defined vehicular network: a deep reinforcement learning approach,OriginalPaper,"Software-defined networking (SDN) has become one of the most promising paradigms to manage large scale networks. Distributing the SDN control proved its performance in terms of resiliency and scalability. However, the choice of the number of controllers to use remains problematic. A large number of controllers may be oversized inducing an overhead in the investment cost and the synchronization cost in terms of delay and traffic load. However, a small number of controllers may be insufficient to achieve the objective of the distributed approach. So, the number of used controllers should be tuned in function of the traffic charge and application requirements. In this paper, we present an intelligent and resizable control plane for software defined vehicular network architecture, where SDN capabilities coupled with deep reinforcement learning (DRL) allow achieving better QoS for vehicular applications. Interacting with SDVN, DRL agent decides the optimal number of distributed controllers to deploy according to the network environment (number of vehicles, load, speed etc.). To the best of our knowledge, this is the first work that adjusts the number of controllers by learning from the vehicular environment dynamicity. Experimental results proved that our proposed system outperforms static distributed SDVN architecture in terms of end-to-end delay and packet loss.","['Business and Management', 'IT in Business', 'Computer Communication Networks', 'Artificial Intelligence', 'Probability Theory and Stochastic Processes']",softwaredefined networking sdn has become one of the most promising paradigms to manage large scale networks distributing the sdn control proved its performance in terms of resiliency and scalability however the choice of the number of controllers to use remains problematic a large number of controllers may be oversized inducing an overhead in the investment cost and the synchronization cost in terms of delay and traffic load however a small number of controllers may be insufficient to achieve the objective of the distributed approach so the number of used controllers should be tuned in function of the traffic charge and application requirements in this paper we present an intelligent and resizable control plane for software defined vehicular network architecture where sdn capabilities coupled with deep reinforcement learning drl allow achieving better qos for vehicular applications interacting with sdvn drl agent decides the optimal number of distributed controllers to deploy according to the network environment number of vehicles load speed etc to the best of our knowledge this is the first work that adjusts the number of controllers by learning from the vehicular environment dynamicity experimental results proved that our proposed system outperforms static distributed sdvn architecture in terms of endtoend delay and packet loss,we present an intelligent and resizable control plane for software defined vehicular network architecture where sdn capabilities coupled with deep reinforcement learning drl allow achieving better qos for vehicular applications interacting with sdvn drl agent decides the optimal number,"['##hicular' 'controllers' 'deep reinforcement learning drl' 'delay'
 'distributed controllers' 'endtoend delay' 'investment cost'
 'network environment' 'packet loss' 'qos' 'scalability'
 'sdn capabilities' 'softwaredefined networking sdn'
 'static distributed sdvn architecture' 'synchronization cost'
 'traffic load' 'vehicles load speed' 'vehicular environment dynamicity'
 'vehicular network architecture']",we present an intelligent and resizable control plane for software defined vehicular network architecture where sdn capabilities coupled with deep reinforcement learning drl allow achieving better qos for vehicular applications interacting with sdvn drl agent decides the optimal number
doi:10.1007/978-3-030-79827-7_33,en,Nanoelectronic Systems for Quantum Computing,OriginalPaper,"Nanoelectronic systems have driven the technology advances for the past half century. But, as we move forward in the twenty-first century, new concepts for computing, notably quantum computing, have appeared that promise dramatic increases in computational efficiency. While these are new systems concepts, they likely will continue to be manufactured using the technology of nanoelectronics. Here, we discuss a variety of approaches which are currently being studied for applicability to quantum computing. But, issues such as scalability, which has facilitated the development of nanoelectronic systems so far, pose important questions for these new and novel approaches.","['Engineering', 'Circuits and Systems', 'Electronic Circuits and Devices', 'Electronics and Microelectronics, Instrumentation']",nanoelectronic systems have driven the technology advances for the past half century but as we move forward in the twentyfirst century new concepts for computing notably quantum computing have appeared that promise dramatic increases in computational efficiency while these are new systems concepts they likely will continue to be manufactured using the technology of nanoelectronics here we discuss a variety of approaches which are currently being studied for applicability to quantum computing but issues such as scalability which has facilitated the development of nanoelectronic systems so far pose important questions for these new and novel approaches,nanoelectronics has emerged as a technology of choice for many areas of science and technology . in this article<n> we review recent advances in nanoelectronics for applications in quantum computing .<n> we begin with a brief introduction to quantum computing and,"['computational efficiency' 'nanoelectronic systems' 'nanoelectronics'
 'quantum computing' 'scalability']",nanoelectronics has emerged as a technology of choice for many areas of science and technology  in this article<n> we review recent advances in nanoelectronics for applications in quantum computing <n> we begin with a brief introduction to quantum computing and
doi:10.1007/978-3-031-16865-9_51,en,Sentiment Analysis to Extract Public Feelings on Covid-19 Vaccination,OriginalPaper,"Covid-19 (Corona virus) hits the world with wildness, affecting various sectors of life. The whole world has united to confront the virus, and different vaccines were developed to vaccinate the largest possible percentage as an effort to reach community immunity to limit its spread. Governments seek to measure public opinion about vaccination campaigns to improve the quality of services provided. One of the most effective ways to do this is to use artificial intelligence to sense and analyze what the public is posting on social media such as Twitter to ensure that their opinion is known without bias. The study used Twitter API to retrieve Arabic tweets then measured public acceptance of vaccination against Covid-19 disease by using sentiment analysis combined with deep learning as a technique that ensures access to people’s opinions quickly and at a very low cost. The results of this study showed that most people are having a positive opinion on the vaccination with different percentages vary from a vaccine type to another.","['Engineering', 'Computational Intelligence', 'Data Engineering']",covid corona virus hits the world with wildness affecting various sectors of life the whole world has united to confront the virus and different vaccines were developed to vaccinate the largest possible percentage as an effort to reach community immunity to limit its spread governments seek to measure public opinion about vaccination campaigns to improve the quality of services provided one of the most effective ways to do this is to use artificial intelligence to sense and analyze what the public is posting on social media such as twitter to ensure that their opinion is known without bias the study used twitter api to retrieve arabic tweets then measured public acceptance of vaccination against covid disease by using sentiment analysis combined with deep learning as a technique that ensures access to peoples opinions quickly and at a very low cost the results of this study showed that most people are having a positive opinion on the vaccination with different percentages vary from a vaccine type to another,this study conducted an arabic twitter account ( @xmath0 ) to measure public acceptance of vaccination campaigns against covid disease .<n> the study used twitter api to retrieve arabic tweets and then measured public acceptance of vaccination against covid,"['##cci' 'arabic tweets' 'artificial intelligence' 'community immunity'
 'covid corona virus' 'covid disease' 'deep learning' 'sentiment analysis'
 'social media' 'twitter' 'twitter api' 'vaccination'
 'vaccination campaigns' 'vaccines']",this study conducted an arabic twitter account  @xmath  to measure public acceptance of vaccination campaigns against covid disease <n> the study used twitter api to retrieve arabic tweets and then measured public acceptance of vaccination against covid
doi:10.1007/978-3-031-16485-9_2,en,A Study on the Customer Experience Management (CEM) by Applying Walk-Through Audit (WtA); Focused on Hospitality Service Cases,OriginalPaper,"This study conducted a case study by applying Walk-through Audit (WtA) to hotel hospitality services based on an understanding of customer experience management (CEM). To apply WtA, the researcher repeatedly tested the hospitality service of Conrad Seoul Hotel, identified the Blueprint of the hospitality service based on personal experience, and pinpointed a total of eight Moment of Truth (MOT) that have a significant impact on customer experience through Customer Journey Analysis. By applying WtA to the identified MOT, the difference in perception between users and related parties regarding the service was confirmed. First, when looking at Conrad Seoul Hotel's hospitality service from the perspective of CEM, Conrad Seoul Hotel provided various promotional programs and experienced services to users, and through this, users could experience the unique and impressive hospitality service of Conrad Seoul Hotel. However, in terms of the service provided, there was a large difference in service awareness between the users who experienced main services such as room service and promotion program experience, food & Beverage (F&B), and related parties providing services, as the users who experienced services provided by the related parties implied relatively negative encounters. Therefore, if Conrad Seoul Hotel can improve this process in terms of user experience management, the hospitality service quality of Conrad Seoul Hotel can be further improved. As such, this study is meaningful in that it has laid the foundation for understanding customer experience management more clearly and broadly by applying the customer experience management technique to the practical case of a hotel.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence']",this study conducted a case study by applying walkthrough audit wta to hotel hospitality services based on an understanding of customer experience management cem to apply wta the researcher repeatedly tested the hospitality service of conrad seoul hotel identified the blueprint of the hospitality service based on personal experience and pinpointed a total of eight moment of truth mot that have a significant impact on customer experience through customer journey analysis by applying wta to the identified mot the difference in perception between users and related parties regarding the service was confirmed first when looking at conrad seoul hotels hospitality service from the perspective of cem conrad seoul hotel provided various promotional programs and experienced services to users and through this users could experience the unique and impressive hospitality service of conrad seoul hotel however in terms of the service provided there was a large difference in service awareness between the users who experienced main services such as room service and promotion program experience food & beverage f&b and related parties providing services as the users who experienced services provided by the related parties implied relatively negative encounters therefore if conrad seoul hotel can improve this process in terms of user experience management the hospitality service quality of conrad seoul hotel can be further improved as such this study is meaningful in that it has laid the foundation for understanding customer experience management more clearly and broadly by applying the customer experience management technique to the practical case of a hotel,this study conducted a case study by applying walkthrough audit to hotel hospitality services based on an understanding of customer experience management .<n> the researcher repeatedly tested the hospitality service of conrad seoul hotel identified the blueprint of the hospitality service based on personal experience,"['beverage' 'conrad seoul hotel' 'conrad seoul hotels hospitality service'
 'customer' 'customer experience management'
 'customer experience management technique' 'customer journey analysis'
 'hospitality service' 'hospitality service quality'
 'hotel hospitality services' 'personal experience' 'promotion program'
 'promotional programs' 'room service' 'truth mot'
 'user experience management' 'walkthrough audit' 'wta']",this study conducted a case study by applying walkthrough audit to hotel hospitality services based on an understanding of customer experience management <n> the researcher repeatedly tested the hospitality service of conrad seoul hotel identified the blueprint of the hospitality service based on personal experience
doi:10.1007/978-3-030-99075-6_62,en,Review on Simulation and Optimization of Vehicle Ride Comfort Based on Suspension Model,OriginalPaper,"At present, commercial software of the multi-body dynamics is widely used in the research of vehicle ride comfort simulation and optimization. This paper reviews some literatures on vehicle ride comfort optimization based on ADAMS, and focuses on the research based on suspension models. The suspension rigid-flexible coupling models and the simulation research about optimizing suspension model parameters to achieve multi-objective optimization are the main areas of concern. Finally, the paper is summarized and the future trend of ADAMS applied to the simulation and optimization of vehicle ride comfort is prospected.","['Engineering', 'Industrial and Production Engineering', 'Mechanical Engineering', 'Machinery and Machine Elements']",at present commercial software of the multibody dynamics is widely used in the research of vehicle ride comfort simulation and optimization this paper reviews some literatures on vehicle ride comfort optimization based on adams and focuses on the research based on suspension models the suspension rigidflexible coupling models and the simulation research about optimizing suspension model parameters to achieve multiobjective optimization are the main areas of concern finally the paper is summarized and the future trend of adams applied to the simulation and optimization of vehicle ride comfort is prospected,"in this paper , we review the application of adaptive dynamic systems ( adams ) to the simulation and optimization of vehicle ride comfort . <n> adaptive dynamic systems ( adams ) , multibody dynamics , multi","['commercial software' 'multibody dynamics' 'multiobjective optimization'
 'optimization' 'optimizing' 'simulation' 'suspension model parameters'
 'suspension models' 'suspension rigidflexible coupling models'
 'vehicle ride comfort' 'vehicle ride comfort optimization'
 'vehicle ride comfort simulation']",in this paper  we review the application of adaptive dynamic systems  adams  to the simulation and optimization of vehicle ride comfort  <n> adaptive dynamic systems  adams   multibody dynamics  multi
doi:10.1007/978-3-031-18050-7_64,en,Security Centric Scalable Architecture for Distributed Learning and Knowledge Preservation,OriginalPaper,"This article presents the architecture, design and validation of a distributed learning approach, that provides support for knowledge preservation. The architecture is able to provide support for Collaborative Data Mining, Context Aware Data Mining, but also Federated Learning. Improving User Experience, providing support for research activities and providing a framework for production-grade machine learning pipeline automations were the primary objectives for the design of the proposed architecture. Third party service support is available out of the box, maintaining the loose-coupling of the system. Obtained results are promising, the system being validated with a use case on Collaborative Data Mining.","['Engineering', 'Computational Intelligence', 'Industrial and Production Engineering']",this article presents the architecture design and validation of a distributed learning approach that provides support for knowledge preservation the architecture is able to provide support for collaborative data mining context aware data mining but also federated learning improving user experience providing support for research activities and providing a framework for productiongrade machine learning pipeline automations were the primary objectives for the design of the proposed architecture third party service support is available out of the box maintaining the loosecoupling of the system obtained results are promising the system being validated with a use case on collaborative data mining,this article presents the architecture design and validation of a distributed learning approach that provides support for knowledge preservation the architecture is able to provide support for collaborative data mining context aware data mining but also federated learning improving user experience providing support for research activities and providing a,"['collaborative data mining' 'data mining' 'distributed learning'
 'federated learning' 'knowledge preservation'
 'machine learning pipeline automations' 'third party service support']",this article presents the architecture design and validation of a distributed learning approach that provides support for knowledge preservation the architecture is able to provide support for collaborative data mining context aware data mining but also federated learning improving user experience providing support for research activities and providing a
