titulo,abstract,clase_pri,clase_otr
Coronavirus (COVID-19) Classification using CT Images by Machine Learning Methods,"  This study presents early phase detection of Coronavirus (COVID-19), which is
named by World Health Organization (WHO), by machine learning methods. The
detection process was implemented on abdominal Computed Tomography (CT) images.
The expert radiologists detected from CT images that COVID-19 shows different
behaviours from other viral pneumonia. Therefore, the clinical experts specify
that COVİD-19 virus needs to be diagnosed in early phase. For detection of
the COVID-19, four different datasets were formed by taking patches sized as
16x16, 32x32, 48x48, 64x64 from 150 CT images. The feature extraction process
was applied to patches to increase the classification performance. Grey Level
Co-occurrence Matrix (GLCM), Local Directional Pattern (LDP), Grey Level Run
Length Matrix (GLRLM), Grey-Level Size Zone Matrix (GLSZM), and Discrete
Wavelet Transform (DWT) algorithms were used as feature extraction methods.
Support Vector Machines (SVM) classified the extracted features. 2-fold, 5-fold
and 10-fold cross-validations were implemented during the classification
process. Sensitivity, specificity, accuracy, precision, and F-score metrics
were used to evaluate the classification performance. The best classification
accuracy was obtained as 99.68% with 10-fold cross-validation and GLSZM feature
extraction method.

    ",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG); Image and Video Processing (eess.IV); Machine Learning (stat.ML)
InterpretML: A Unified Framework for Machine Learning Interpretability,"  InterpretML is an open-source Python package which exposes machine learning
interpretability algorithms to practitioners and researchers. InterpretML
exposes two types of interpretability - glassbox models, which are machine
learning models designed for interpretability (ex: linear models, rule lists,
generalized additive models), and blackbox explainability techniques for
explaining existing systems (ex: Partial Dependence, LIME). The package enables
practitioners to easily compare interpretability algorithms by exposing
multiple methods under a unified API, and by having a built-in, extensible
visualization platform. InterpretML also includes the first implementation of
the Explainable Boosting Machine, a powerful, interpretable, glassbox model
that can be as accurate as many blackbox models. The MIT licensed source code
can be downloaded from ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
GraphLab: A New Framework For Parallel Machine Learning,"  Designing and implementing efficient, provably correct parallel machine
learning (ML) algorithms is challenging. Existing high-level parallel
abstractions like MapReduce are insufficiently expressive while low-level tools
like MPI and Pthreads leave ML experts repeatedly solving the same design
challenges. By targeting common patterns in ML, we developed GraphLab, which
improves upon abstractions like MapReduce by compactly expressing asynchronous
iterative algorithms with sparse computational dependencies while ensuring data
consistency and achieving a high degree of parallel performance. We demonstrate
the expressiveness of the GraphLab framework by designing and implementing
parallel versions of belief propagation, Gibbs sampling, Co-EM, Lasso and
Compressed Sensing. We show that using GraphLab we can achieve excellent
parallel performance on large scale real-world problems.

    ",Machine Learning (cs.LG),"; Distributed, Parallel, and Cluster Computing (cs.DC)"
Adversarial Machine Learning at Scale,"  Adversarial examples are malicious inputs designed to fool machine learning
models. They often transfer from one model to another, allowing attackers to
mount black box attacks without knowledge of the target model's parameters.
Adversarial training is the process of explicitly training a model on
adversarial examples, in order to make it more robust to attack or to reduce
its test error on clean inputs. So far, adversarial training has primarily been
applied to small problems. In this research, we apply adversarial training to
ImageNet. Our contributions include: (1) recommendations for how to succesfully
scale adversarial training to large models and datasets, (2) the observation
that adversarial training confers robustness to single-step attack methods, (3)
the finding that multi-step attack methods are somewhat less transferable than
single-step attack methods, so single-step attacks are the best for mounting
black-box attacks, and (4) resolution of a ""label leaking"" effect that causes
adversarially trained models to perform better on adversarial examples than on
clean examples, because the adversarial example construction process uses the
true label and the model can learn to exploit regularities in the construction
process.

    ",Computer Vision and Pattern Recognition (cs.CV),; Cryptography and Security (cs.CR); Machine Learning (cs.LG); Machine Learning (stat.ML)
"Interpretable machine learning: definitions, methods, and applications","  Machine-learning models have demonstrated great success in learning complex
patterns that enable them to make predictions about unobserved data. In
addition to using models for prediction, the ability to interpret what a model
has learned is receiving an increasing amount of attention. However, this
increased focus has led to considerable confusion about the notion of
interpretability. In particular, it is unclear how the wide array of proposed
interpretation methods are related, and what common concepts can be used to
evaluate them.
",Machine Learning (stat.ML),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Applications (stat.AP)
Pylearn2: a machine learning research library,"  Pylearn2 is a machine learning research library. This does not just mean that
it is a collection of machine learning algorithms that share a common API; it
means that it has been designed for flexibility and extensibility in order to
facilitate research projects that involve new or unusual use cases. In this
paper we give a brief history of the library, an overview of its basic
philosophy, a summary of the library's architecture, and a description of how
the Pylearn2 community functions socially.

    ",Machine Learning (stat.ML),; Machine Learning (cs.LG); Mathematical Software (cs.MS)
The Frontiers of Fairness in Machine Learning,"  The last few years have seen an explosion of academic and popular interest in
algorithmic fairness. Despite this interest and the volume and velocity of work
that has been produced recently, the fundamental science of fairness in machine
learning is still in a nascent state. In March 2018, we convened a group of
experts as part of a CCC visioning workshop to assess the state of the field,
and distill the most promising research directions going forward. This report
summarizes the findings of that workshop. Along the way, it surveys recent
theoretical work in the field and points towards promising directions for
research.

    ",Machine Learning (cs.LG),; Data Structures and Algorithms (cs.DS); Computer Science and Game Theory (cs.GT); Machine Learning (stat.ML)
Communication-Efficient On-Device Machine Learning: Federated Distillation and Augmentation under Non-IID Private Data,"  On-device machine learning (ML) enables the training process to exploit a
massive amount of user-generated private data samples. To enjoy this benefit,
inter-device communication overhead should be minimized. With this end, we
propose federated distillation (FD), a distributed model training algorithm
whose communication payload size is much smaller than a benchmark scheme,
federated learning (FL), particularly when the model size is large. Moreover,
user-generated data samples are likely to become non-IID across devices, which
commonly degrades the performance compared to the case with an IID dataset. To
cope with this, we propose federated augmentation (FAug), where each device
collectively trains a generative model, and thereby augments its local data
towards yielding an IID dataset. Empirical studies demonstrate that FD with
FAug yields around 26x less communication overhead while achieving 95-98% test
accuracy compared to FL.

    ",Machine Learning (cs.LG),; Networking and Internet Architecture (cs.NI); Machine Learning (stat.ML)
ML-Leaks: Model and Data Independent Membership Inference Attacks and Defenses on Machine Learning Models,"  Machine learning (ML) has become a core component of many real-world
applications and training data is a key factor that drives current progress.
This huge success has led Internet companies to deploy machine learning as a
service (MLaaS). Recently, the first membership inference attack has shown that
extraction of information on the training set is possible in such MLaaS
settings, which has severe security and privacy implications.
",Cryptography and Security (cs.CR),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain,"  Deep learning-based techniques have achieved state-of-the-art performance on
a wide variety of recognition and classification tasks. However, these networks
are typically computationally expensive to train, requiring weeks of
computation on many GPUs; as a result, many users outsource the training
procedure to the cloud or rely on pre-trained models that are then fine-tuned
for a specific task. In this paper we show that outsourced training introduces
new security risks: an adversary can create a maliciously trained network (a
backdoored neural network, or a \emph{BadNet}) that has state-of-the-art
performance on the user's training and validation samples, but behaves badly on
specific attacker-chosen inputs. We first explore the properties of BadNets in
a toy example, by creating a backdoored handwritten digit classifier. Next, we
demonstrate backdoors in a more realistic scenario by creating a U.S. street
sign classifier that identifies stop signs as speed limits when a special
sticker is added to the stop sign; we then show in addition that the backdoor
in our US street sign detector can persist even if the network is later
retrained for another task and cause a drop in accuracy of {25}\% on average
when the backdoor trigger is present. These results demonstrate that backdoors
in neural networks are both powerful and---because the behavior of neural
networks is difficult to explicate---stealthy. This work provides motivation
for further research into techniques for verifying and inspecting neural
networks, just as we have developed tools for verifying and debugging software.

    ",Cryptography and Security (cs.CR),; Machine Learning (cs.LG)
Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks,"  We identify label errors in the test sets of 10 of the most commonly-used
computer vision, natural language, and audio datasets, and subsequently study
the potential for these label errors to affect benchmark results. Errors in
test sets are numerous and widespread: we estimate an average of at least 3.3%
errors across the 10 datasets, where for example label errors comprise at least
6% of the ImageNet validation set. Putative label errors are identified using
confident learning algorithms and then human-validated via crowdsourcing (51%
of the algorithmically-flagged candidates are indeed erroneously labeled, on
average across the datasets). Traditionally, machine learning practitioners
choose which model to deploy based on test accuracy - our findings advise
caution here, proposing that judging models over correctly labeled test sets
may be more useful, especially for noisy real-world datasets. Surprisingly, we
find that lower capacity models may be practically more useful than higher
capacity models in real-world datasets with high proportions of erroneously
labeled data. For example, on ImageNet with corrected labels: ResNet-18
outperforms ResNet-50 if the prevalence of originally mislabeled test examples
increases by just 6%. On CIFAR-10 with corrected labels: VGG-11 outperforms
VGG-19 if the prevalence of originally mislabeled test examples increases by
just 5%. Test set errors across the 10 datasets can be viewed at
",Machine Learning (stat.ML),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
Federated Optimization: Distributed Machine Learning for On-Device Intelligence,"  We introduce a new and increasingly relevant setting for distributed
optimization in machine learning, where the data defining the optimization are
unevenly distributed over an extremely large number of nodes. The goal is to
train a high-quality centralized model. We refer to this setting as Federated
Optimization. In this setting, communication efficiency is of the utmost
importance and minimizing the number of rounds of communication is the
principal goal.
",Machine Learning (cs.LG),
Machine Learning that Matters,"  Much of current machine learning (ML) research has lost its connection to
problems of import to the larger world of science and society. From this
perspective, there exist glaring limitations in the data sets we investigate,
the metrics we employ for evaluation, and the degree to which results are
communicated back to their originating domains. What changes are needed to how
we conduct research to increase the impact that ML has? We present six Impact
Challenges to explicitly focus the field?s energy and attention, and we discuss
existing obstacles that must be addressed. We aim to inspire ongoing discussion
and focus on ML that matters.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
Theoretical Impediments to Machine Learning With Seven Sparks from the Causal Revolution,"  Current machine learning systems operate, almost exclusively, in a
statistical, or model-free mode, which entails severe theoretical limits on
their power and performance. Such systems cannot reason about interventions and
retrospection and, therefore, cannot serve as the basis for strong AI. To
achieve human level intelligence, learning machines need the guidance of a
model of reality, similar to the ones used in causal inference tasks. To
demonstrate the essential role of such models, I will present a summary of
seven tasks which are beyond reach of current machine learning systems and
which have been accomplished using the tools of causal modeling.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"Identifying the Best Machine Learning Algorithms for Brain Tumor Segmentation, Progression Assessment, and Overall Survival Prediction in the BRATS Challenge","  Gliomas are the most common primary brain malignancies, with different
degrees of aggressiveness, variable prognosis and various heterogeneous
histologic sub-regions, i.e., peritumoral edematous/invaded tissue, necrotic
core, active and non-enhancing core. This intrinsic heterogeneity is also
portrayed in their radio-phenotype, as their sub-regions are depicted by
varying intensity profiles disseminated across multi-parametric magnetic
resonance imaging (mpMRI) scans, reflecting varying biological properties.
Their heterogeneous shape, extent, and location are some of the factors that
make these tumors difficult to resect, and in some cases inoperable. The amount
of resected tumor is a factor also considered in longitudinal scans, when
evaluating the apparent tumor for potential diagnosis of progression.
Furthermore, there is mounting evidence that accurate segmentation of the
various tumor sub-regions can offer the basis for quantitative image analysis
towards prediction of patient overall survival. This study assesses the
state-of-the-art machine learning (ML) methods used for brain tumor image
analysis in mpMRI scans, during the last seven instances of the International
Brain Tumor Segmentation (BraTS) challenge, i.e., 2012-2018. Specifically, we
focus on i) evaluating segmentations of the various glioma sub-regions in
pre-operative mpMRI scans, ii) assessing potential tumor progression by virtue
of longitudinal growth of tumor sub-regions, beyond use of the RECIST/RANO
criteria, and iii) predicting the overall survival from pre-operative mpMRI
scans of patients that underwent gross total resection. Finally, we investigate
the challenge of identifying the best ML algorithms for each of these tasks,
considering that apart from being diverse on each instance of the challenge,
the multi-institutional mpMRI BraTS dataset has also been a continuously
evolving/growing dataset.

    ",Computer Vision and Pattern Recognition (cs.CV),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Machine Learning (stat.ML)
Quantifying the Carbon Emissions of Machine Learning,"  From an environmental standpoint, there are a few crucial aspects of training
a neural network that have a major impact on the quantity of carbon that it
emits. These factors include: the location of the server used for training and
the energy grid that it uses, the length of the training procedure, and even
the make and model of hardware on which the training takes place. In order to
approximate these emissions, we present our Machine Learning Emissions
Calculator, a tool for our community to better understand the environmental
impact of training ML models. We accompany this tool with an explanation of the
factors cited above, as well as concrete actions that individual practitioners
and organizations can take to mitigate their carbon emissions.

    ",Computers and Society (cs.CY),; Machine Learning (cs.LG)
Fairness in Machine Learning: A Survey,"  As Machine Learning technologies become increasingly used in contexts that
affect citizens, companies as well as researchers need to be confident that
their application of these methods will not have unexpected social
implications, such as bias towards gender, ethnicity, and/or people with
disabilities. There is significant literature on approaches to mitigate bias
and promote fairness, yet the area is complex and hard to penetrate for
newcomers to the domain. This article seeks to provide an overview of the
different schools of thought and approaches to mitigating (social) biases and
increase fairness in the Machine Learning literature. It organises approaches
into the widely accepted framework of pre-processing, in-processing, and
post-processing methods, subcategorizing into a further 11 method areas.
Although much of the literature emphasizes binary classification, a discussion
of fairness in regression, recommender systems, unsupervised learning, and
natural language processing is also provided along with a selection of
currently available open source libraries. The article concludes by summarising
open challenges articulated as four dilemmas for fairness research.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
Neural-Symbolic Computing: An Effective Methodology for Principled Integration of Machine Learning and Reasoning,"  Current advances in Artificial Intelligence and machine learning in general,
and deep learning in particular have reached unprecedented impact not only
across research communities, but also over popular media channels. However,
concerns about interpretability and accountability of AI have been raised by
influential thinkers. In spite of the recent impact of AI, several works have
identified the need for principled knowledge representation and reasoning
mechanisms integrated with deep learning-based systems to provide sound and
explainable models for such systems. Neural-symbolic computing aims at
integrating, as foreseen by Valiant, two most fundamental cognitive abilities:
the ability to learn from the environment, and the ability to reason from what
has been learned. Neural-symbolic computing has been an active topic of
research for many years, reconciling the advantages of robust learning in
neural networks and reasoning and interpretability of symbolic representation.
In this paper, we survey recent accomplishments of neural-symbolic computing as
a principled methodology for integrated machine learning and reasoning. We
illustrate the effectiveness of the approach by outlining the main
characteristics of the methodology: principled integration of neural learning
with symbolic knowledge representation and reasoning allowing for the
construction of explainable AI systems. The insights provided by
neural-symbolic computing shed new light on the increasingly prominent need for
interpretable and accountable AI systems.

    ",Artificial Intelligence (cs.AI),
Towards the Science of Security and Privacy in Machine Learning,"  Advances in machine learning (ML) in recent years have enabled a dizzying
array of applications such as data analytics, autonomous systems, and security
diagnostics. ML is now pervasive---new systems and models are being deployed in
every domain imaginable, leading to rapid and widespread deployment of software
based inference and decision making. There is growing recognition that ML
exposes new vulnerabilities in software systems, yet the technical community's
understanding of the nature and extent of these vulnerabilities remains
limited. We systematize recent findings on ML security and privacy, focusing on
attacks identified on these systems and defenses crafted to date. We articulate
a comprehensive threat model for ML, and categorize attacks and defenses within
an adversarial framework. Key insights resulting from works both in the ML and
security communities are identified and the effectiveness of approaches are
related to structural elements of ML algorithms and the data used to train
them. We conclude by formally exploring the opposing relationship between model
accuracy and resilience to adversarial manipulation. Through these
explorations, we show that there are (possibly unavoidable) tensions between
model complexity, accuracy, and resilience that must be calibrated for the
environments in which they will be used.

    ",Cryptography and Security (cs.CR),; Machine Learning (cs.LG)
"Performance Metrics (Error Measures) in Machine Learning Regression, Forecasting and Prognostics: Properties and Typology","  Performance metrics (error measures) are vital components of the evaluation
frameworks in various fields. The intention of this study was to overview of a
variety of performance metrics and approaches to their classification. The main
goal of the study was to develop a typology that will help to improve our
knowledge and understanding of metrics and facilitate their selection in
machine learning regression, forecasting and prognostics. Based on the analysis
of the structure of numerous performance metrics, we propose a framework of
metrics which includes four (4) categories: primary metrics, extended metrics,
composite metrics, and hybrid sets of metrics. The paper identified three (3)
key components (dimensions) that determine the structure and properties of
primary metrics: method of determining point distance, method of normalization,
method of aggregation of point distances over a data set.

    ",Methodology (stat.ME),; Machine Learning (cs.LG); Machine Learning (stat.ML)
Opportunities and Challenges for Machine Learning in Materials Science,"  Advances in machine learning have impacted myriad areas of materials science,
ranging from the discovery of novel materials to the improvement of molecular
simulations, with likely many more important developments to come. Given the
rapid changes in this field, it is challenging to understand both the breadth
of opportunities as well as best practices for their use. In this review, we
address aspects of both problems by providing an overview of the areas where
machine learning has recently had significant impact in materials science, and
then provide a more detailed discussion on determining the accuracy and domain
of applicability of some common types of machine learning models. Finally, we
discuss some opportunities and challenges for the materials community to fully
utilize the capabilities of machine learning.

    ",Materials Science (cond-mat.mtrl-sci),; Computational Physics (physics.comp-ph)
TensorFlow Quantum: A Software Framework for Quantum Machine Learning,"  We introduce TensorFlow Quantum (TFQ), an open source library for the rapid
prototyping of hybrid quantum-classical models for classical or quantum data.
This framework offers high-level abstractions for the design and training of
both discriminative and generative quantum models under TensorFlow and supports
high-performance quantum circuit simulators. We provide an overview of the
software architecture and building blocks through several examples and review
the theory of hybrid quantum-classical neural networks. We illustrate TFQ
functionalities via several basic applications including supervised learning
for quantum classification, quantum control, simulating noisy quantum circuits,
and quantum approximate optimization. Moreover, we demonstrate how one can
apply TFQ to tackle advanced quantum learning tasks including meta-learning,
layerwise learning, Hamiltonian learning, sampling thermal states, variational
quantum eigensolvers, classification of quantum phase transitions, generative
adversarial networks, and reinforcement learning. We hope this framework
provides the necessary tools for the quantum computing and machine learning
research communities to explore models of both natural and artificial quantum
systems, and ultimately discover new quantum algorithms which could potentially
yield a quantum advantage.

    ",Quantum Physics (quant-ph),; Disordered Systems and Neural Networks (cond-mat.dis-nn); Machine Learning (cs.LG); Programming Languages (cs.PL)
Augmentor: An Image Augmentation Library for Machine Learning,"  The generation of artificial data based on existing observations, known as
data augmentation, is a technique used in machine learning to improve model
accuracy, generalisation, and to control overfitting. Augmentor is a software
package, available in both Python and Julia versions, that provides a high
level API for the expansion of image data using a stochastic, pipeline-based
approach which effectively allows for images to be sampled from a distribution
of augmented images at runtime. Augmentor provides methods for most standard
augmentation practices as well as several advanced features such as
label-preserving, randomised elastic distortions, and provides many helper
functions for typical augmentation tasks used in machine learning.

    ",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG); Machine Learning (stat.ML)
FedML: A Research Library and Benchmark for Federated Machine Learning,"  Federated learning (FL) is a rapidly growing research field in machine
learning. However, existing FL libraries cannot adequately support diverse
algorithmic development; inconsistent dataset and model usage make fair
algorithm comparison challenging. In this work, we introduce FedML, an open
research library and benchmark to facilitate FL algorithm development and fair
performance comparison. FedML supports three computing paradigms: on-device
training for edge devices, distributed computing, and single-machine
simulation. FedML also promotes diverse algorithmic research with flexible and
generic API design and comprehensive reference baseline implementations
(optimizer, models, and datasets). We hope FedML could provide an efficient and
reproducible means for developing and evaluating FL algorithms that would
benefit the FL research community. We maintain the source code, documents, and
user community at ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
EMBER: An Open Dataset for Training Static PE Malware Machine Learning Models,"  This paper describes EMBER: a labeled benchmark dataset for training machine
learning models to statically detect malicious Windows portable executable
files. The dataset includes features extracted from 1.1M binary files: 900K
training samples (300K malicious, 300K benign, 300K unlabeled) and 200K test
samples (100K malicious, 100K benign). To accompany the dataset, we also
release open source code for extracting features from additional binaries so
that additional sample features can be appended to the dataset. This dataset
fills a void in the information security machine learning community: a
benign/malicious dataset that is large, open and general enough to cover
several interesting use cases. We enumerate several use cases that we
considered when structuring the dataset. Additionally, we demonstrate one use
case wherein we compare a baseline gradient boosted decision tree model trained
using LightGBM with default settings to MalConv, a recently published
end-to-end (featureless) deep learning model for malware detection. Results
show that even without hyper-parameter optimization, the baseline EMBER model
outperforms MalConv. The authors hope that the dataset, code and baseline model
provided by EMBER will help invigorate machine learning research for malware
detection, in much the same way that benchmark datasets have advanced computer
vision research.

    ",Cryptography and Security (cs.CR),
Differential Privacy and Machine Learning: a Survey and Review,"  The objective of machine learning is to extract useful information from data,
while privacy is preserved by concealing information. Thus it seems hard to
reconcile these competing interests. However, they frequently must be balanced
when mining sensitive data. For example, medical research represents an
important application where it is necessary both to extract useful information
and protect patient privacy. One way to resolve the conflict is to extract
general characteristics of whole populations without disclosing the private
information of individuals.
",Machine Learning (cs.LG),; Cryptography and Security (cs.CR); Databases (cs.DB)
