titulo,abstract,clase_pri,clase_otr,clases,categorias
Pretraining Deep Actor-Critic Reinforcement Learning Algorithms With Expert Demonstrations,"  Pretraining with expert demonstrations have been found useful in speeding up
the training process of deep reinforcement learning algorithms since less
online simulation data is required. Some people use supervised learning to
speed up the process of feature learning, others pretrain the policies by
imitating expert demonstrations. However, these methods are unstable and not
suitable for actor-critic reinforcement learning algorithms. Also, some
existing methods rely on the global optimum assumption, which is not true in
most scenarios. In this paper, we employ expert demonstrations in a
actor-critic reinforcement learning framework, and meanwhile ensure that the
performance is not affected by the fact that expert demonstrations are not
global optimal. We theoretically derive a method for computing policy gradients
and value estimators with only expert demonstrations. Our method is
theoretically plausible for actor-critic reinforcement learning algorithms that
pretrains both policy and value functions. We apply our method to two of the
typical actor-critic reinforcement learning algorithms, DDPG and ACER, and
demonstrate with experiments that our method not only outperforms the RL
algorithms without pretraining process, but also is more simulation efficient.

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG); Machine Learning (stat.ML),"['ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.AI', 'cs.LG', 'stat.ML']"
The Reactor: A fast and sample-efficient Actor-Critic agent for Reinforcement Learning,"  In this work we present a new agent architecture, called Reactor, which
combines multiple algorithmic and architectural contributions to produce an
agent with higher sample-efficiency than Prioritized Dueling DQN (Wang et al.,
2016) and Categorical DQN (Bellemare et al., 2017), while giving better
run-time performance than A3C (Mnih et al., 2016). Our first contribution is a
new policy evaluation algorithm called Distributional Retrace, which brings
multi-step off-policy updates to the distributional reinforcement learning
setting. The same approach can be used to convert several classes of multi-step
policy evaluation algorithms designed for expected value evaluation into
distributional ones. Next, we introduce the \b{eta}-leave-one-out policy
gradient algorithm which improves the trade-off between variance and bias by
using action values as a baseline. Our final algorithmic contribution is a new
prioritized replay algorithm for sequences, which exploits the temporal
locality of neighboring observations for more efficient replay prioritization.
Using the Atari 2600 benchmarks, we show that each of these innovations
contribute to both the sample efficiency and final agent performance. Finally,
we demonstrate that Reactor reaches state-of-the-art performance after 200
million frames and less than a day of training.

    ",Artificial Intelligence (cs.AI),,['ArtificialIntelligence(cs.AI)'],['cs.AI']
Hybrid actor-critic algorithm for quantum reinforcement learning at CERN beam lines,"  Free energy-based reinforcement learning (FERL) with clamped quantum
Boltzmann machines (QBM) was shown to significantly improve the learning
efficiency compared to classical Q-learning with the restriction, however, to
discrete state-action space environments. In this paper, the FERL approach is
extended to multi-dimensional continuous state-action space environments to
open the doors for a broader range of real-world applications. First, free
energy-based Q-learning is studied for discrete action spaces, but continuous
state spaces and the impact of experience replay on sample efficiency is
assessed. In a second step, a hybrid actor-critic scheme for continuous
state-action spaces is developed based on the Deep Deterministic Policy
Gradient algorithm combining a classical actor network with a QBM-based critic.
The results obtained with quantum annealing, both simulated and with D-Wave
quantum annealing hardware, are discussed, and the performance is compared to
classical reinforcement learning methods. The environments used throughout
represent existing particle accelerator beam lines at the European Organisation
for Nuclear Research (CERN). Among others, the hybrid actor-critic agent is
evaluated on the actual electron beam line of the Advanced Plasma Wakefield
Experiment (AWAKE).

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
MoTiAC: Multi-Objective Actor-Critics for Real-Time Bidding,"  Online Real-Time Bidding (RTB) is a complex auction game among which
advertisers struggle to bid for ad impressions when a user request occurs.
Considering display cost, Return on Investment (ROI), and other influential Key
Performance Indicators (KPIs), large ad platforms try to balance the trade-off
among various goals in dynamics. To address the challenge, we propose a
Multi-ObjecTive Actor-Critics algorithm based on reinforcement learning (RL),
named MoTiAC, for the problem of bidding optimization with various goals. In
MoTiAC, objective-specific agents update the global network asynchronously with
different goals and perspectives, leading to a robust bidding policy. Unlike
previous RL models, the proposed MoTiAC can simultaneously fulfill
multi-objective tasks in complicated bidding environments. In addition, we
mathematically prove that our model will converge to Pareto optimality.
Finally, experiments on a large-scale real-world commercial dataset from
Tencent verify the effectiveness of MoTiAC versus a set of recent approaches

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG),"['ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)']","['cs.AI', 'cs.LG']"
Demand-Side Scheduling Based on Multi-Agent Deep Actor-Critic Learning for Smart Grids,"  We consider the problem of demand-side energy management, where each
household is equipped with a smart meter that is able to schedule home
appliances online. The goal is to minimize the overall cost under a real-time
pricing scheme. While previous works have introduced centralized approaches in
which the scheduling algorithm has full observability, we propose the
formulation of a smart grid environment as a Markov game. Each household is a
decentralized agent with partial observability, which allows scalability and
privacy-preservation in a realistic setting. The grid operator produces a price
signal that varies with the energy demand. We propose an extension to a
multi-agent, deep actor-critic algorithm to address partial observability and
the perceived non-stationarity of the environment from the agent's viewpoint.
This algorithm learns a centralized critic that coordinates training of
decentralized agents. Our approach thus uses centralized learning but
decentralized execution. Simulation results show that our online deep
reinforcement learning method can reduce both the peak-to-average ratio of
total energy consumed and the cost of electricity for all households based
purely on instantaneous observations and a price signal.

    ",Machine Learning (cs.LG),; Systems and Control (eess.SY); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'SystemsandControl(eess.SY)', 'MachineLearning(stat.ML)']","['cs.LG', 'eess.SY', 'stat.ML']"
Stein Variational Policy Gradient,"  Policy gradient methods have been successfully applied to many complex
reinforcement learning problems. However, policy gradient methods suffer from
high variance, slow convergence, and inefficient exploration. In this work, we
introduce a maximum entropy policy optimization framework which explicitly
encourages parameter exploration, and show that this framework can be reduced
to a Bayesian inference problem. We then propose a novel Stein variational
policy gradient method (SVPG) which combines existing policy gradient methods
and a repulsive functional to generate a set of diverse but well-behaved
policies. SVPG is robust to initialization and can easily be implemented in a
parallel manner. On continuous control problems, we find that implementing SVPG
on top of REINFORCE and advantage actor-critic algorithms improves both average
return and data efficiency.

    ",Machine Learning (cs.LG),,['MachineLearning(cs.LG)'],['cs.LG']
Decomposed Soft Actor-Critic Method for Cooperative Multi-Agent Reinforcement Learning,"  Deep reinforcement learning methods have shown great performance on many
challenging cooperative multi-agent tasks. Two main promising research
directions are multi-agent value function decomposition and multi-agent policy
gradients. In this paper, we propose a new decomposed multi-agent soft
actor-critic (mSAC) method, which effectively combines the advantages of the
aforementioned two methods. The main modules include decomposed Q network
architecture, discrete probabilistic policy and counterfactual advantage
function (optinal). Theoretically, mSAC supports efficient off-policy learning
and addresses credit assignment problem partially in both discrete and
continuous action spaces. Tested on StarCraft II micromanagement cooperative
multiagent benchmark, we empirically investigate the performance of mSAC
against its variants and analyze the effects of the different components.
Experimental results demonstrate that mSAC significantly outperforms
policy-based approach COMA, and achieves competitive results with SOTA
value-based approach Qmix on most tasks in terms of asymptotic perfomance
metric. In addition, mSAC achieves pretty good results on large action space
tasks, such as 2c_vs_64zg and MMM2.

    ",Artificial Intelligence (cs.AI),; Multiagent Systems (cs.MA); Machine Learning (stat.ML),"['ArtificialIntelligence(cs.AI)', 'MultiagentSystems(cs.MA)', 'MachineLearning(stat.ML)']","['cs.AI', 'cs.MA', 'stat.ML']"
Simultaneous Double Q-learning with Conservative Advantage Learning for Actor-Critic Methods,"  Actor-critic Reinforcement Learning (RL) algorithms have achieved impressive
performance in continuous control tasks. However, they still suffer two
nontrivial obstacles, i.e., low sample efficiency and overestimation bias. To
this end, we propose Simultaneous Double Q-learning with Conservative Advantage
Learning (SDQ-CAL). Our SDQ-CAL boosts the Double Q-learning for off-policy
actor-critic RL based on a modification of the Bellman optimality operator with
Advantage Learning. Specifically, SDQ-CAL improves sample efficiency by
modifying the reward to facilitate the distinction from experience between the
optimal actions and the others. Besides, it mitigates the overestimation issue
by updating a pair of critics simultaneously upon double estimators. Extensive
experiments reveal that our algorithm realizes less biased value estimation and
achieves state-of-the-art performance in a range of continuous control
benchmark tasks. We release the source code of our method at:
\url{",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)']","['cs.LG', 'cs.AI']"
A Brief Survey of Deep Reinforcement Learning,"  Deep reinforcement learning is poised to revolutionise the field of AI and
represents a step towards building autonomous systems with a higher level
understanding of the visual world. Currently, deep learning is enabling
reinforcement learning to scale to problems that were previously intractable,
such as learning to play video games directly from pixels. Deep reinforcement
learning algorithms are also applied to robotics, allowing control policies for
robots to be learned directly from camera inputs in the real world. In this
survey, we begin with an introduction to the general field of reinforcement
learning, then progress to the main streams of value-based and policy-based
methods. Our survey will cover central algorithms in deep reinforcement
learning, including the deep $Q$-network, trust region policy optimisation, and
asynchronous advantage actor-critic. In parallel, we highlight the unique
advantages of deep neural networks, focusing on visual understanding via
reinforcement learning. To conclude, we describe several current areas of
research within the field.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)', 'ComputerVisionandPatternRecognition(cs.CV)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.AI', 'cs.CV', 'stat.ML']"
Variance Reduction in Actor Critic Methods (ACM),"  After presenting Actor Critic Methods (ACM), we show ACM are control variate
estimators. Using the projection theorem, we prove that the Q and Advantage
Actor Critic (A2C) methods are optimal in the sense of the $L^2$ norm for the
control variate estimators spanned by functions conditioned by the current
state and action. This straightforward application of Pythagoras theorem
provides a theoretical justification of the strong performance of QAC and AAC
most often referred to as A2C methods in deep policy gradient methods. This
enables us to derive a new formulation for Advantage Actor Critic methods that
has lower variance and improves the traditional A2C method.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.LG', 'stat.ML']"
Policy Regularization via Noisy Advantage Values for Cooperative Multi-agent Actor-Critic methods,"  Recent works have applied the Proximal Policy Optimization (PPO) to the
multi-agent cooperative tasks, such as Independent PPO (IPPO); and vanilla
Multi-agent PPO (MAPPO) which has a centralized value function. However,
previous literature shows that MAPPO may not perform as well as Independent PPO
(IPPO) and the Fine-tuned QMIX on Starcraft Multi-Agent Challenge (SMAC).
MAPPO-Feature-Pruned (MAPPO-FP) improves the performance of MAPPO by the
carefully designed agent-specific features, which may be not friendly to
algorithmic utility. By contrast, we find that MAPPO may face the problem of
\textit{The Policies Overfitting in Multi-agent Cooperation(POMAC)}, as they
learn policies by the sampled advantage values. Then POMAC may lead to updating
the multi-agent policies in a suboptimal direction and prevent the agents from
exploring better trajectories. In this paper, to mitigate the multi-agent
policies overfitting, we propose a novel policy regularization method, which
disturbs the advantage values via random Gaussian noise. The experimental
results show that our method outperforms the Fine-tuned QMIX, MAPPO-FP, and
achieves SOTA on SMAC without agent-specific features. We open-source the code
at \url{",Multiagent Systems (cs.MA),,['MultiagentSystems(cs.MA)'],['cs.MA']
Soft Actor-Critic Algorithms and Applications,"  Model-free deep reinforcement learning (RL) algorithms have been successfully
applied to a range of challenging sequential decision making and control tasks.
However, these methods typically suffer from two major challenges: high sample
complexity and brittleness to hyperparameters. Both of these challenges limit
the applicability of such methods to real-world domains. In this paper, we
describe Soft Actor-Critic (SAC), our recently introduced off-policy
actor-critic algorithm based on the maximum entropy RL framework. In this
framework, the actor aims to simultaneously maximize expected return and
entropy. That is, to succeed at the task while acting as randomly as possible.
We extend SAC to incorporate a number of modifications that accelerate training
and improve stability with respect to the hyperparameters, including a
constrained formulation that automatically tunes the temperature
hyperparameter. We systematically evaluate SAC on a range of benchmark tasks,
as well as real-world challenging tasks such as locomotion for a quadrupedal
robot and robotic manipulation with a dexterous hand. With these improvements,
SAC achieves state-of-the-art performance, outperforming prior on-policy and
off-policy methods in sample-efficiency and asymptotic performance.
Furthermore, we demonstrate that, in contrast to other off-policy algorithms,
our approach is very stable, achieving similar performance across different
random seeds. These results suggest that SAC is a promising candidate for
learning in real-world robotics tasks.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Robotics (cs.RO); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)', 'Robotics(cs.RO)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.AI', 'cs.RO', 'stat.ML']"
Deep Reinforcement learning for real autonomous mobile robot navigation in indoor environments,"  Deep Reinforcement Learning has been successfully applied in various computer
games [8]. However, it is still rarely used in real-world applications,
especially for the navigation and continuous control of real mobile robots
[13]. Previous approaches lack safety and robustness and/or need a structured
environment. In this paper we present our proof of concept for autonomous
self-learning robot navigation in an unknown environment for a real robot
without a map or planner. The input for the robot is only the fused data from a
2D laser scanner and a RGB-D camera as well as the orientation to the goal. The
map of the environment is unknown. The output actions of an Asynchronous
Advantage Actor-Critic network (GA3C) are the linear and angular velocities for
the robot. The navigator/controller network is pretrained in a high-speed,
parallel, and self-implemented simulation environment to speed up the learning
process and then deployed to the real robot. To avoid overfitting, we train
relatively small networks, and we add random Gaussian noise to the input laser
data. The sensor data fusion with the RGB-D camera allows the robot to navigate
in real environments with real 3D obstacle avoidance and without the need to
fit the environment to the sensory capabilities of the robot. To further
increase the robustness, we train on environments of varying difficulties and
run 32 training instances simultaneously. Video: supplementary File / YouTube,
Code: GitHub

    ",Robotics (cs.RO),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"['Robotics(cs.RO)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)']","['cs.RO', 'cs.AI', 'cs.LG']"
Unbiased Asymmetric Reinforcement Learning under Partial Observability,"  In partially observable reinforcement learning, offline training gives access
to latent information which is not available during online training and/or
execution, such as the system state. Asymmetric actor-critic methods exploit
such information by training a history-based policy via a state-based critic.
However, many asymmetric methods lack theoretical foundation, and are only
evaluated on limited domains. We examine the theory of asymmetric actor-critic
methods which use state-based critics, and expose fundamental issues which
undermine the validity of a common variant, and limit its ability to address
partial observability. We propose an unbiased asymmetric actor-critic variant
which is able to exploit state information while remaining theoretically sound,
maintaining the validity of the policy gradient theorem, and introducing no
bias and relatively low variance into the training process. An empirical
evaluation performed on domains which exhibit significant partial observability
confirms our analysis, demonstrating that unbiased asymmetric actor-critic
converges to better policies and/or faster than symmetric and biased asymmetric
baselines.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)']","['cs.LG', 'cs.AI']"
Deep Primal-Dual Reinforcement Learning: Accelerating Actor-Critic using Bellman Duality,"  We develop a parameterized Primal-Dual $\pi$ Learning method based on deep
neural networks for Markov decision process with large state space and
off-policy reinforcement learning. In contrast to the popular Q-learning and
actor-critic methods that are based on successive approximations to the
nonlinear Bellman equation, our method makes primal-dual updates to the policy
and value functions utilizing the fundamental linear Bellman duality. Naive
parametrization of the primal-dual $\pi$ learning method using deep neural
networks would encounter two major challenges: (1) each update requires
computing a probability distribution over the state space and is intractable;
(2) the iterates are unstable since the parameterized Lagrangian function is no
longer linear. We address these challenges by proposing a relaxed Lagrangian
formulation with a regularization penalty using the advantage function. We show
that the dual policy update step in our method is equivalent to the policy
gradient update in the actor-critic method in some special case, while the
value updates differ substantially. The main advantage of the primal-dual $\pi$
learning method lies in that the value and policy updates are closely coupled
together using the Bellman duality and therefore more informative. Experiments
on a simple cart-pole problem show that the algorithm significantly outperforms
the one-step temporal-difference actor-critic method, which is the most
relevant benchmark method to compare with. We believe that the primal-dual
updates to the value and policy functions would expedite the learning process.
The proposed methods might open a door to more efficient algorithms and sharper
theoretical analysis.

    ",Machine Learning (cs.LG),,['MachineLearning(cs.LG)'],['cs.LG']
